Zone,Allee,Deplacement,Niveau,longueur,largeur,hauteur,PoidsLimiteTotal,PoidsLimiteUnitaire,X,Y,Z,pictogramme,utilisateur,DateModif,DateCrea,Type1,Type2,Type3
S,3,41,1,40,24,38,20,,,,,,,,,,,
S,3,41,2,40,24,38,20,,,,,,,,,,,
S,3,41,3,40,24,38,20,,,,,,,,,,,
S,3,41,4,40,24,38,20,,,,,,,,,,,
S,3,41,5,40,24,38,20,,,,,,,,,,,
S,3,41,6,40,12,38,20,,,,,,,,,,,
S,3,41,7,40,12,38,20,,,,,,,,,,,
S,3,41,8,40,12,38,20,,,,,,,,,,,
S,3,41,9,40,12,38,20,,,,,,,,,,,
S,3,41,10,40,12,38,20,,,,,,,,,,,
S,3,42,1,40,24,38,20,,,,,,,,,,,
S,3,42,2,40,24,38,20,,,,,,,,,,,
S,3,42,3,40,24,38,20,,,,,,,,,,,
S,3,42,4,40,24,38,20,,,,,,,,,,,
S,3,42,5,40,24,38,20,,,,,,,,,,,
S,3,42,6,40,12,38,20,,,,,,,,,,,
S,3,42,7,40,12,38,20,,,,,,,,,,,
S,3,42,8,40,12,38,20,,,,,,,,,,,
S,3,42,9,40,12,38,20,,,,,,,,,,,
S,3,42,10,40,12,38,20,,,,,,,,,,,
S,3,43,1,40,24,38,20,,,,,,,,,,,
S,3,43,2,40,24,38,20,,,,,,,,,,,
S,3,43,3,40,24,38,20,,,,,,,,,,,
S,3,43,4,40,24,38,20,,,,,,,,,,,
S,3,43,5,40,24,38,20,,,,,,,,,,,
S,3,43,6,40,12,38,20,,,,,,,,,,,
S,3,43,7,40,12,38,20,,,,,,,,,,,
S,3,43,8,40,12,38,20,,,,,,,,,,,
S,3,43,9,40,12,38,20,,,,,,,,,,,
S,3,43,10,40,12,38,20,,,,,,,,,,,
S,3,44,1,40,24,38,20,,,,,,,,,,,
S,3,44,2,40,24,38,20,,,,,,,,,,,
S,3,44,3,40,24,38,20,,,,,,,,,,,
S,3,44,4,40,24,38,20,,,,,,,,,,,
S,3,44,5,40,24,38,20,,,,,,,,,,,
S,3,44,6,40,12,38,20,,,,,,,,,,,
S,3,44,7,40,12,38,20,,,,,,,,,,,
S,3,44,8,40,12,38,20,,,,,,,,,,,
S,3,44,9,40,12,38,20,,,,,,,,,,,
S,3,44,10,40,12,38,20,,,,,,,,,,,
